YYYY(기준연도)	IND_CLASS_ORDER(산업분류_차수)	ZONE_C(행정구역분류코드)	D_SEX(사업체_대표자성별)	D_AGE(사업체_대표자생년)	JOSIC_C(조직형태코드)	KUBUN_C(사업체구분코드)	CHANG_Y(설립연도)	CHANG_M(설립월)	SN1_B(산업세세분류)	EMP_JA_M(자영업자_남자)	EMP_JA_F(자영업자_여자)	EMP_JA(자영업자_계)	EMP_MU_M(무급가족종사자_남자)	EMP_MU_F(무급가족종사자_여자)	EMP_MU(무급가족종사자_계)	EMP_SA_M(상용종사자_남자)	EMP_SA_F(상용종사자_여자)	EMP_SA(상용종사자_계)	EMP_IM_M(임시일용종사자_남자)	EMP_IM_F(임시일용종사자_여자)	EMP_IM(임시일용종사자_계)	EMP_MO_M(무급종사자_남자)	EMP_MO_F(무급종사자_여자)	EMP_MO(무급종사자_계)	EMP_TO_M(T종사자_남자)	EMP_TO_F(T종사자_여자)	EMP_TO(T종사자_합계)
2013	9	1110059	2	1955	1	1	2011	11	47812	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1970	2	2	2004	12	42322	0	0	0	0	0	0	5	2	7	0	10	10	0	0	0	5	12	17
2013	9	1110059	1	1959	1	1	2011	7	46331	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1973	1	1	2011	5	85501	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1968	1	1	2011	4	46592	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1953	2	3	2007	5	47993	0	0	0	0	0	0	1	2	3	0	0	0	0	100	100	1	102	103
2013	9	1110059	1	1987	1	1	2011	11	56194	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2
2013	9	1110059	1	1974	1	1	2010	1	47416	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1970	4	1	2013	9	94990	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	3
2013	9	1110059	1	1945	2	1	2005	11	47312	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	2
2013	9	1110059	1	1976	1	1	2011	6	71103	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1972	2	3	2012	1	56220	0	0	0	0	0	0	0	1	1	2	1	3	0	0	0	2	2	4
2013	9	1110059	1	1966	2	1	2011	10	46742	0	0	0	0	0	0	1	4	5	0	0	0	0	0	0	1	4	5
2013	9	1110059	2	1978	1	1	2013	12	96112	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1941	1	1	1992	12	47129	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	2	1	3
2013	9	1110059	1	1973	1	1	2003	4	42500	1	0	1	0	0	0	4	0	4	0	0	0	0	0	0	5	0	5
2013	9	1110059	1	1969	1	1	1999	1	28423	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2
2013	9	1110059	1	1954	1	1	2002	12	47519	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	1	1965	1	1	2006	8	68221	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2
2013	9	1110059	1	1949	4	1	2013	11	96993	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	2	3	5
2013	9	1110059	2	1966	1	1	2009	9	96112	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1936	4	1	1999	4	68211	0	0	0	0	0	0	4	3	7	0	0	0	0	0	0	4	3	7
2013	9	1110059	2	1972	1	1	1998	7	86203	0	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4
2013	9	1110059	2	1957	1	1	2003	1	68221	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	1	1959	2	3	2002	1	47312	0	0	0	0	0	0	8	1	9	0	0	0	0	0	0	8	1	9
2013	9	1110059	1	1974	1	1	2007	7	42412	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1950	1	1	2005	2	96111	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1955	1	1	2011	9	47911	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	2	1	3
2013	9	1110059	1	1965	1	1	2007	7	56111	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	2	3
2013	9	1110059	1	1950	1	1	2002	2	42420	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1966	1	1	2005	2	47219	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1955	1	1	1999	1	42412	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1963	1	1	2012	10	87210	1	0	1	0	0	0	0	10	10	0	0	0	0	0	0	1	10	11
2013	9	1110059	2	1962	1	1	1990	1	14411	0	1	1	0	0	0	0	0	0	0	3	3	0	0	0	0	4	4
2013	9	1110059	1	1959	2	1	2005	10	75120	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1964	1	1	1992	6	95212	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	3	0	3
2013	9	1110059	2	1956	1	1	2004	1	56212	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1963	1	1	1989	11	85620	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1939	1	1	2001	7	47129	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1990	1	1	2011	2	96112	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1984	1	1	2011	9	96113	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2
2013	9	1110059	1	1957	2	3	1986	5	45110	0	0	0	0	0	0	23	2	25	0	0	0	0	0	0	23	2	25
2013	9	1110059	2	1959	1	1	2011	3	56111	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	2	1963	4	1	2012	8	94912	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1961	1	1	2002	10	28121	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1970	1	1	2012	5	47813	0	1	1	0	0	0	0	2	2	0	2	2	0	0	0	0	5	5
2013	9	1110059	1	1949	1	1	2001	2	38302	1	0	1	0	0	0	2	1	3	0	0	0	0	0	0	3	1	4
2013	9	1110059	1	1962	1	1	2006	6	56191	1	0	1	0	0	0	0	1	1	1	2	3	0	0	0	2	3	5
2013	9	1110059	2	1964	1	1	2007	6	56219	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	2	1965	1	1	2009	8	56111	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	3	3
2013	9	1110059	2	1972	1	1	2011	5	96112	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2
2013	9	1110059	2	1960	4	1	1996	9	85110	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	10	10
2013	9	1110059	1	1955	1	1	2010	6	56111	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1955	1	1	2011	12	47992	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	3	0	3
2013	9	1110059	1	1974	1	1	2011	12	47212	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1956	5	1	1991	3	85211	0	0	0	0	0	0	17	66	83	0	0	0	0	0	0	17	66	83
2013	9	1110059	2	1984	1	1	2013	1	47813	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1957	1	1	2008	1	68221	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	1	1962	1	1	2010	11	68221	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	1	1955	1	1	2013	3	56199	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	2	1955	1	1	2011	7	56111	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2
2013	9	1110059	2	1970	1	1	2011	5	47413	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2013	9	1110059	2	1950	1	1	2012	5	47813	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	2	1953	1	1	2013	6	47631	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2
2013	9	1110059	1	1963	1	1	2011	10	47852	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	2	1970	2	2	2001	3	56120	0	0	0	0	0	0	3	3	6	0	0	0	0	0	0	3	3	6
2013	9	1110059	1	1941	1	1	2013	10	96992	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2013	9	1110059	1	1958	1	1	2011	6	47411	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2
2013	9	1110059	1	1965	1	1	2008	1	32021	1	0	1	0	0	0	3	0	3	0	0	0	0	0	0	4	0	4
